video_name,cq,vmaf,output_size,bitrate
bridge_close_cif_segment_000.mp4,30,93.36,0.35,0.58
bridge_close_cif_segment_000.mp4,35,91.59,0.22,0.36
bridge_close_cif_segment_000.mp4,40,88.97,0.14,0.23
bridge_close_cif_segment_001.mp4,10,97.48,3.00,5.03
bridge_close_cif_segment_001.mp4,15,96.65,1.70,2.85
bridge_close_cif_segment_001.mp4,20,95.81,0.99,1.66
bridge_close_cif_segment_001.mp4,25,94.85,0.59,1.00
bridge_close_cif_segment_001.mp4,30,93.56,0.34,0.58
bridge_close_cif_segment_001.mp4,35,91.82,0.22,0.36
bridge_close_cif_segment_001.mp4,40,89.26,0.13,0.23
bridge_close_cif_segment_002.mp4,10,97.45,2.98,5.00
bridge_close_cif_segment_002.mp4,15,96.53,1.71,2.86
bridge_close_cif_segment_002.mp4,20,95.68,1.00,1.68
bridge_close_cif_segment_002.mp4,25,94.66,0.60,1.01
bridge_close_cif_segment_002.mp4,30,93.25,0.35,0.58
bridge_close_cif_segment_002.mp4,35,91.25,0.22,0.36
bridge_close_cif_segment_002.mp4,40,88.76,0.14,0.23
bridge_close_cif_segment_003.mp4,10,97.5,2.95,4.95
bridge_close_cif_segment_003.mp4,15,96.54,1.66,2.78
bridge_close_cif_segment_003.mp4,20,95.62,0.98,1.64
bridge_close_cif_segment_003.mp4,25,94.67,0.58,0.98
bridge_close_cif_segment_003.mp4,30,93.2,0.34,0.58
bridge_close_cif_segment_003.mp4,35,91.25,0.21,0.36
bridge_close_cif_segment_003.mp4,40,88.5,0.13,0.22
bridge_close_cif_segment_004.mp4,10,97.48,2.98,4.99
bridge_close_cif_segment_004.mp4,15,96.57,1.67,2.80
bridge_close_cif_segment_004.mp4,20,95.78,0.98,1.65
bridge_close_cif_segment_004.mp4,25,94.88,0.58,0.97
bridge_close_cif_segment_004.mp4,30,93.65,0.34,0.57
bridge_close_cif_segment_004.mp4,35,92.03,0.21,0.35
bridge_close_cif_segment_004.mp4,40,89.44,0.13,0.22
bridge_close_cif_segment_005.mp4,10,97.46,2.97,4.98
bridge_close_cif_segment_005.mp4,15,96.59,1.67,2.80
bridge_close_cif_segment_005.mp4,20,95.8,0.97,1.63
bridge_close_cif_segment_005.mp4,25,94.83,0.57,0.96
bridge_close_cif_segment_005.mp4,30,93.6,0.34,0.56
bridge_close_cif_segment_005.mp4,35,91.99,0.21,0.35
bridge_close_cif_segment_005.mp4,40,89.9,0.13,0.22
bridge_close_cif_segment_007.mp4,10,97.45,2.98,5.00
bridge_close_cif_segment_007.mp4,15,96.56,1.69,2.83
bridge_close_cif_segment_007.mp4,20,95.65,0.99,1.66
bridge_close_cif_segment_007.mp4,25,94.66,0.59,0.99
bridge_close_cif_segment_007.mp4,30,93.27,0.35,0.58
bridge_close_cif_segment_007.mp4,35,91.28,0.22,0.36
bridge_close_cif_segment_007.mp4,40,88.89,0.14,0.23
bridge_close_cif_segment_008.mp4,10,97.42,3.00,5.02
bridge_close_cif_segment_008.mp4,15,96.54,1.70,2.85
bridge_close_cif_segment_008.mp4,20,95.61,0.99,1.67
bridge_close_cif_segment_008.mp4,25,94.62,0.59,0.99
bridge_close_cif_segment_008.mp4,30,93.26,0.35,0.58
bridge_close_cif_segment_008.mp4,35,91.5,0.22,0.36
bridge_close_cif_segment_008.mp4,40,88.84,0.13,0.22
bridge_close_cif_segment_009.mp4,10,97.4,2.98,4.99
bridge_close_cif_segment_009.mp4,15,96.51,1.70,2.85
bridge_close_cif_segment_009.mp4,20,95.61,1.00,1.67
bridge_close_cif_segment_009.mp4,25,94.67,0.59,0.99
bridge_close_cif_segment_009.mp4,30,93.31,0.35,0.58
bridge_close_cif_segment_009.mp4,35,91.43,0.21,0.36
bridge_close_cif_segment_009.mp4,40,88.83,0.13,0.23
bridge_close_cif_segment_010.mp4,10,97.37,2.98,5.00
bridge_close_cif_segment_010.mp4,15,96.51,1.70,2.85
bridge_close_cif_segment_010.mp4,20,95.66,0.99,1.66
bridge_close_cif_segment_010.mp4,25,94.7,0.59,0.99
bridge_close_cif_segment_010.mp4,30,93.24,0.34,0.58
bridge_close_cif_segment_010.mp4,35,91.49,0.21,0.36
bridge_close_cif_segment_010.mp4,40,89.04,0.13,0.23
bridge_close_cif_segment_011.mp4,10,97.4,2.99,5.01
bridge_close_cif_segment_011.mp4,15,96.48,1.70,2.85
bridge_close_cif_segment_011.mp4,20,95.6,0.99,1.66
bridge_close_cif_segment_011.mp4,25,94.58,0.59,0.99
bridge_close_cif_segment_011.mp4,30,93.23,0.35,0.58
bridge_close_cif_segment_011.mp4,35,91.21,0.21,0.36
bridge_close_cif_segment_011.mp4,40,88.91,0.14,0.23
bridge_close_cif_segment_012.mp4,10,97.39,3.00,5.02
bridge_close_cif_segment_012.mp4,15,96.48,1.70,2.85
bridge_close_cif_segment_012.mp4,20,95.59,1.00,1.67
bridge_close_cif_segment_012.mp4,25,94.6,0.59,0.99
bridge_close_cif_segment_012.mp4,30,93.11,0.35,0.58
bridge_close_cif_segment_012.mp4,35,91.1,0.22,0.36
bridge_close_cif_segment_012.mp4,40,88.54,0.13,0.23
bridge_far_cif_segment_000.mp4,10,97.11,2.87,4.82
bridge_far_cif_segment_000.mp4,15,96.08,1.60,2.68
bridge_far_cif_segment_000.mp4,20,95.3,0.92,1.54
bridge_far_cif_segment_000.mp4,25,94.7,0.53,0.89
bridge_far_cif_segment_000.mp4,30,93.97,0.31,0.52
bridge_far_cif_segment_000.mp4,35,92.68,0.16,0.28
bridge_far_cif_segment_000.mp4,40,90.69,0.09,0.16
bridge_far_cif_segment_001.mp4,10,97.05,2.88,4.83
bridge_far_cif_segment_001.mp4,15,96.02,1.59,2.67
bridge_far_cif_segment_001.mp4,20,95.26,0.91,1.53
bridge_far_cif_segment_001.mp4,25,94.6,0.52,0.87
bridge_far_cif_segment_001.mp4,30,93.74,0.31,0.52
bridge_far_cif_segment_001.mp4,35,92.52,0.16,0.27
bridge_far_cif_segment_001.mp4,40,90.64,0.09,0.15
bridge_far_cif_segment_002.mp4,10,97.06,2.87,4.80
bridge_far_cif_segment_002.mp4,15,96.03,1.59,2.66
bridge_far_cif_segment_002.mp4,20,95.21,0.90,1.52
bridge_far_cif_segment_002.mp4,25,94.55,0.52,0.87
bridge_far_cif_segment_002.mp4,30,93.79,0.30,0.51
bridge_far_cif_segment_002.mp4,35,92.52,0.16,0.27
bridge_far_cif_segment_002.mp4,40,90.69,0.09,0.15
bridge_far_cif_segment_003.mp4,10,97.09,2.85,4.77
bridge_far_cif_segment_003.mp4,15,96.04,1.57,2.64
bridge_far_cif_segment_003.mp4,20,95.3,0.90,1.51
bridge_far_cif_segment_003.mp4,25,94.74,0.52,0.88
bridge_far_cif_segment_003.mp4,30,93.97,0.30,0.50
bridge_far_cif_segment_003.mp4,35,92.73,0.16,0.27
bridge_far_cif_segment_003.mp4,40,90.67,0.08,0.14
bridge_far_cif_segment_004.mp4,10,97.13,2.85,4.77
bridge_far_cif_segment_004.mp4,15,96.15,1.54,2.58
bridge_far_cif_segment_004.mp4,20,95.39,0.87,1.46
bridge_far_cif_segment_004.mp4,25,94.83,0.51,0.85
bridge_far_cif_segment_004.mp4,30,93.95,0.29,0.48
bridge_far_cif_segment_004.mp4,35,92.66,0.15,0.26
bridge_far_cif_segment_004.mp4,40,90.73,0.08,0.13
bridge_far_cif_segment_005.mp4,10,97.09,2.85,4.78
bridge_far_cif_segment_005.mp4,15,96.06,1.55,2.59
bridge_far_cif_segment_005.mp4,20,95.3,0.88,1.48
bridge_far_cif_segment_005.mp4,25,94.7,0.51,0.86
bridge_far_cif_segment_005.mp4,30,93.94,0.29,0.49
bridge_far_cif_segment_005.mp4,35,92.82,0.16,0.27
bridge_far_cif_segment_005.mp4,40,90.56,0.08,0.14
bridge_far_cif_segment_007.mp4,10,97.1,2.86,4.80
bridge_far_cif_segment_007.mp4,15,96.06,1.60,2.68
bridge_far_cif_segment_007.mp4,20,95.25,0.91,1.53
bridge_far_cif_segment_007.mp4,25,94.53,0.52,0.88
bridge_far_cif_segment_007.mp4,30,93.64,0.31,0.52
bridge_far_cif_segment_007.mp4,35,92.2,0.17,0.28
bridge_far_cif_segment_007.mp4,40,90.15,0.09,0.15
bridge_far_cif_segment_008.mp4,10,97.09,2.87,4.81
