vmaf,metrics_avg_motion,metrics_avg_edge_density,metrics_avg_texture,metrics_avg_temporal_information,metrics_avg_spatial_information,metrics_avg_color_complexity,metrics_avg_motion_variance,metrics_avg_grain_noise,resolution_ordinal,cq_ordinal,metrics_frame_rate_ordinal
0.9092,2.2,0.15,0.668,1.067,0.526,0.704,-0.019,0.702,0.25,1,0.6
0.983,0.13,0.1,0.739,-0.535,0.479,0.766,-0.42,0.057,0.625,0,1
0.979,0.13,0.1,0.739,-0.535,0.479,0.766,-0.42,0.057,0.625,0.166666666666667,1
0.9753,0.13,0.1,0.739,-0.535,0.479,0.766,-0.42,0.057,0.625,0.333333333333333,1
0.9706,0.13,0.1,0.739,-0.535,0.479,0.766,-0.42,0.057,0.625,0.5,1
0.964,0.13,0.1,0.739,-0.535,0.479,0.766,-0.42,0.057,0.625,0.666666666666667,1
0.9525,0.13,0.1,0.739,-0.535,0.479,0.766,-0.42,0.057,0.625,0.833333333333333,1
0.9339,0.13,0.1,0.739,-0.535,0.479,0.766,-0.42,0.057,0.625,1,1
0.9803,0.13,0.1,0.739,-0.535,0.479,0.766,-0.42,0.057,0.625,0,1
0.9766,0.13,0.1,0.739,-0.535,0.479,0.766,-0.42,0.057,0.625,0.166666666666667,1
0.9731,0.13,0.1,0.739,-0.535,0.479,0.766,-0.42,0.057,0.625,0.333333333333333,1
0.9691,0.13,0.1,0.739,-0.535,0.479,0.766,-0.42,0.057,0.625,0.5,1
0.9627,0.13,0.1,0.739,-0.535,0.479,0.766,-0.42,0.057,0.625,0.666666666666667,1
0.9517,0.13,0.1,0.739,-0.535,0.479,0.766,-0.42,0.057,0.625,0.833333333333333,1
0.9339,0.13,0.1,0.739,-0.535,0.479,0.766,-0.42,0.057,0.625,1,1
0.9755,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0,0.6
0.9728,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.166666666666667,0.6
0.9699,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.333333333333333,0.6
0.9656,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.5,0.6
0.9576,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.666666666666667,0.6
0.9462,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.833333333333333,0.6
0.9254,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,1,0.6
0.9753,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0,0.6
0.9723,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.166666666666667,0.6
0.9695,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.333333333333333,0.6
0.965,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.5,0.6
0.9579,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.666666666666667,0.6
0.9455,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.833333333333333,0.6
0.9245,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,1,0.6
0.9754,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0,0.6
0.9725,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.166666666666667,0.6
0.9697,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.333333333333333,0.6
0.9651,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.5,0.6
0.9573,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.666666666666667,0.6
0.9443,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.833333333333333,0.6
0.9239,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,1,0.6
0.9739,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0,0.6
0.9719,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.166666666666667,0.6
0.9694,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.333333333333333,0.6
0.9651,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.5,0.6
0.9583,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.666666666666667,0.6
0.9466,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.833333333333333,0.6
0.9266,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,1,0.6
0.9749,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0,0.6
0.9723,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.166666666666667,0.6
0.9693,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.333333333333333,0.6
0.9642,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.5,0.6
0.9571,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.666666666666667,0.6
0.9449,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,0.833333333333333,0.6
0.9264,0.04,0.1,0.415,-0.905,0.51,0.34,-0.579,0.18,0,1,0.6
0.9974,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0,1
0.9968,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.166666666666667,1
0.9954,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.333333333333333,1
0.9353,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.5,1
0.9347,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.666666666666667,1
0.9031,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.833333333333333,1
0.8396,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,1,1
0.9977,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0,1
0.9976,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.166666666666667,1
0.9966,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.333333333333333,1
0.9158,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.5,1
0.9151,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.666666666666667,1
0.8802,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.833333333333333,1
0.8001,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,1,1
0.9994,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0,1
0.9993,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.166666666666667,1
0.9962,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.333333333333333,1
0.9618,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.5,1
0.9537,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.666666666666667,1
0.9173,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.833333333333333,1
0.8696,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,1,1
0.9993,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0,1
0.9987,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.166666666666667,1
0.9975,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.333333333333333,1
0.9871,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.5,1
0.9763,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.666666666666667,1
0.9507,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.833333333333333,1
0.9095,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,1,1
0.9957,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0,1
0.9935,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.166666666666667,1
0.9907,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.333333333333333,1
0.9842,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.5,1
0.9731,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.666666666666667,1
0.9535,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.833333333333333,1
0.9221,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,1,1
0.9836,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0,1
0.9812,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.166666666666667,1
0.9781,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.333333333333333,1
0.9724,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.5,1
0.9635,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.666666666666667,1
0.95,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.833333333333333,1
0.9295,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,1,1
0.9764,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0,1
0.9745,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.166666666666667,1
0.9724,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.333333333333333,1
0.9685,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.5,1
0.9624,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.666666666666667,1
0.9523,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.833333333333333,1
0.9379,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,1,1
0.979,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0,1
0.9767,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.166666666666667,1
0.974,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.333333333333333,1
0.9693,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.5,1
0.9619,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.666666666666667,1
0.9501,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.833333333333333,1
0.9308,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,1,1
0.9821,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0,1
0.978,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.166666666666667,1
0.9736,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.333333333333333,1
0.9654,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.5,1
0.9527,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.666666666666667,1
0.9338,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.833333333333333,1
0.9046,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,1,1
0.9969,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0,1
0.9953,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.166666666666667,1
0.9918,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.333333333333333,1
0.9848,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.5,1
0.9708,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.666666666666667,1
0.9471,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.833333333333333,1
0.9118,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,1,1
0.982,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0,1
0.9782,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.166666666666667,1
0.9746,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.333333333333333,1
0.966,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.5,1
0.9539,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.666666666666667,1
0.9353,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.833333333333333,1
0.9057,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,1,1
0.9978,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0,1
0.9952,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.166666666666667,1
0.987,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.333333333333333,1
0.9561,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.5,1
0.9455,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.666666666666667,1
0.9103,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,0.833333333333333,1
0.8698,1.48,0.02,0.467,0.288,-1.279,0.473,0.492,-1.129,0.75,1,1
0.9877,0.1,0.12,0.607,-0.508,1.659,0.629,-0.536,1.292,0.25,0,0.6
0.982,0.1,0.12,0.607,-0.508,1.659,0.629,-0.536,1.292,0.25,0.166666666666667,0.6
0.9735,0.1,0.12,0.607,-0.508,1.659,0.629,-0.536,1.292,0.25,0.333333333333333,0.6
0.9643,0.1,0.12,0.607,-0.508,1.659,0.629,-0.536,1.292,0.25,0.5,0.6
0.955,0.1,0.12,0.607,-0.508,1.659,0.629,-0.536,1.292,0.25,0.666666666666667,0.6
0.9427,0.1,0.12,0.607,-0.508,1.659,0.629,-0.536,1.292,0.25,0.833333333333333,0.6
0.9258,0.1,0.12,0.607,-0.508,1.659,0.629,-0.536,1.292,0.25,1,0.6
0.9863,0.1,0.12,0.607,-0.508,1.659,0.629,-0.536,1.292,0.25,0,0.6
0.9802,0.1,0.12,0.607,-0.508,1.659,0.629,-0.536,1.292,0.25,0.166666666666667,0.6
0.9718,0.1,0.12,0.607,-0.508,1.659,0.629,-0.536,1.292,0.25,0.333333333333333,0.6
0.9625,0.1,0.12,0.607,-0.508,1.659,0.629,-0.536,1.292,0.25,0.5,0.6
0.9532,0.1,0.12,0.607,-0.508,1.659,0.629,-0.536,1.292,0.25,0.666666666666667,0.6
0.9403,0.1,0.12,0.607,-0.508,1.659,0.629,-0.536,1.292,0.25,0.833333333333333,0.6
0.9217,0.1,0.12,0.607,-0.508,1.659,0.629,-0.536,1.292,0.25,1,0.6
0.9992,0.18,0.27,0.687,-0.176,1.776,0.718,-0.515,1.548,0.375,0,1
0.9937,0.18,0.27,0.687,-0.176,1.776,0.718,-0.515,1.548,0.375,0.166666666666667,1
0.9791,0.18,0.27,0.687,-0.176,1.776,0.718,-0.515,1.548,0.375,0.333333333333333,1
0.9557,0.18,0.27,0.687,-0.176,1.776,0.718,-0.515,1.548,0.375,0.5,1
0.9267,0.18,0.27,0.687,-0.176,1.776,0.718,-0.515,1.548,0.375,0.666666666666667,1
0.8867,0.18,0.27,0.687,-0.176,1.776,0.718,-0.515,1.548,0.375,0.833333333333333,1
0.8347,0.18,0.27,0.687,-0.176,1.776,0.718,-0.515,1.548,0.375,1,1
0.9966,0.18,0.27,0.687,-0.176,1.776,0.718,-0.515,1.548,0.375,0,1
0.985,0.18,0.27,0.687,-0.176,1.776,0.718,-0.515,1.548,0.375,0.166666666666667,1
0.9658,0.18,0.27,0.687,-0.176,1.776,0.718,-0.515,1.548,0.375,0.333333333333333,1
0.9423,0.18,0.27,0.687,-0.176,1.776,0.718,-0.515,1.548,0.375,0.5,1
0.9163,0.18,0.27,0.687,-0.176,1.776,0.718,-0.515,1.548,0.375,0.666666666666667,1
0.8801,0.18,0.27,0.687,-0.176,1.776,0.718,-0.515,1.548,0.375,0.833333333333333,1
0.831,0.18,0.27,0.687,-0.176,1.776,0.718,-0.515,1.548,0.375,1,1
0.9816,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0,0.6
0.971,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.166666666666667,0.6
0.9615,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.333333333333333,0.6
0.9485,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.5,0.6
0.9341,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.666666666666667,0.6
0.9159,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.833333333333333,0.6
0.8837,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,1,0.6
0.9811,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0,0.6
0.9708,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.166666666666667,0.6
0.9619,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.333333333333333,0.6
0.9503,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.5,0.6
0.9356,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.666666666666667,0.6
0.9185,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.833333333333333,0.6
0.8865,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,1,0.6
0.9812,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0,0.6
0.9706,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.166666666666667,0.6
0.9609,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.333333333333333,0.6
0.9485,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.5,0.6
0.9352,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.666666666666667,0.6
0.9153,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.833333333333333,0.6
0.8858,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,1,0.6
0.9837,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0,0.6
0.9745,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.166666666666667,0.6
0.9651,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.333333333333333,0.6
0.9525,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.5,0.6
0.9373,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.666666666666667,0.6
0.9188,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.833333333333333,0.6
0.8873,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,1,0.6
0.9822,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0,0.6
0.9722,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.166666666666667,0.6
0.9623,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.333333333333333,0.6
0.9494,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.5,0.6
0.9364,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.666666666666667,0.6
0.9179,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.833333333333333,0.6
0.887,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,1,0.6
0.9827,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0,0.6
0.9722,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.166666666666667,0.6
0.9606,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.333333333333333,0.6
0.9464,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.5,0.6
0.93,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.666666666666667,0.6
0.9108,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.833333333333333,0.6
0.8764,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,1,0.6
0.9872,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0,0.6
0.9773,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.166666666666667,0.6
0.9682,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.333333333333333,0.6
0.9546,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.5,0.6
0.9369,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.666666666666667,0.6
0.9099,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.833333333333333,0.6
0.8706,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,1,0.6
0.9892,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0,0.6
0.9827,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.166666666666667,0.6
0.9757,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.333333333333333,0.6
0.9666,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.5,0.6
0.9526,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.666666666666667,0.6
0.9317,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.833333333333333,0.6
0.8981,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,1,0.6
0.9788,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0,0.6
0.9681,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.166666666666667,0.6
0.9582,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.333333333333333,0.6
0.9459,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.5,0.6
0.9305,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.666666666666667,0.6
0.9092,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.833333333333333,0.6
0.8765,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,1,0.6
0.9774,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0,0.6
0.9665,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.166666666666667,0.6
0.9568,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.333333333333333,0.6
0.9453,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.5,0.6
0.9303,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.666666666666667,0.6
0.9099,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.833333333333333,0.6
0.88,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,1,0.6
0.9831,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0,0.6
0.9726,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.166666666666667,0.6
0.9626,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.333333333333333,0.6
0.9491,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.5,0.6
0.935,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.666666666666667,0.6
0.9129,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.833333333333333,0.6
0.8828,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,1,0.6
0.9812,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0,0.6
0.9717,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.166666666666667,0.6
0.9619,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.333333333333333,0.6
0.9481,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.5,0.6
0.9344,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.666666666666667,0.6
0.9147,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,0.833333333333333,0.6
0.886,0.42,0.05,0.57,-0.369,-0.331,0.61,-0.246,-0.397,0.25,1,0.6
0.9998,1.25,0.3,0.767,3.279,1.602,0.794,-0.236,4.4,0.25,0,0.6
0.9997,1.25,0.3,0.767,3.279,1.602,0.794,-0.236,4.4,0.25,0.166666666666667,0.6
0.997,1.25,0.3,0.767,3.279,1.602,0.794,-0.236,4.4,0.25,0.333333333333333,0.6
0.9168,1.25,0.3,0.767,3.279,1.602,0.794,-0.236,4.4,0.25,0.5,0.6
0.9132,1.25,0.3,0.767,3.279,1.602,0.794,-0.236,4.4,0.25,0.666666666666667,0.6
0.8115,1.25,0.3,0.767,3.279,1.602,0.794,-0.236,4.4,0.25,0.833333333333333,0.6
0.6827,1.25,0.3,0.767,3.279,1.602,0.794,-0.236,4.4,0.25,1,0.6
0.9974,0.46,0.04,-0.352,0.806,0.18,-0.307,-0.151,-0.468,0.375,0,1
0.9955,0.46,0.04,-0.352,0.806,0.18,-0.307,-0.151,-0.468,0.375,0.166666666666667,1
0.9922,0.46,0.04,-0.352,0.806,0.18,-0.307,-0.151,-0.468,0.375,0.333333333333333,1
0.9867,0.46,0.04,-0.352,0.806,0.18,-0.307,-0.151,-0.468,0.375,0.5,1
0.9774,0.46,0.04,-0.352,0.806,0.18,-0.307,-0.151,-0.468,0.375,0.666666666666667,1
0.962,0.46,0.04,-0.352,0.806,0.18,-0.307,-0.151,-0.468,0.375,0.833333333333333,1
0.9374,0.46,0.04,-0.352,0.806,0.18,-0.307,-0.151,-0.468,0.375,1,1
0.9863,1.84,0.09,0.275,0.486,-1.071,0.175,-0.072,-0.285,0.75,0,0.8
0.9749,1.84,0.09,0.275,0.486,-1.071,0.175,-0.072,-0.285,0.75,0.166666666666667,0.8
0.9609,1.84,0.09,0.275,0.486,-1.071,0.175,-0.072,-0.285,0.75,0.333333333333333,0.8
0.94,1.84,0.09,0.275,0.486,-1.071,0.175,-0.072,-0.285,0.75,0.5,0.8
0.9339,1.84,0.09,0.275,0.486,-1.071,0.175,-0.072,-0.285,0.75,0.666666666666667,0.8
