rate,max_bit_rate,vmaf_score,output_file_size
20,2000k,38.55,2.585491180419922
20,4000k,57.13,5.202409744262695
20,8000k,75.72,10.478349685668945
20,12000k,84.74,15.737983703613281
20,18000k,91.56,23.102965354919434
20,24000k,95.31,30.380491256713867
25,2000k,38.56,2.585491180419922
25,4000k,56.55,5.060136795043945
25,8000k,74.79,9.954086303710938
25,12000k,83.89,14.830132484436035
25,18000k,91.35,22.5108699798584
25,24000k,95.13,29.784210205078125
30,2000k,38.58,2.585491180419922
30,4000k,56.57,5.060136795043945
30,8000k,74.78,9.954086303710938
30,12000k,84.0,14.832717895507812
30,18000k,91.46,22.51148509979248
30,24000k,93.39,25.550874710083008
35,2000k,38.56,2.585491180419922
35,4000k,56.56,5.060136795043945
35,8000k,74.95,9.954465866088867
35,12000k,84.14,14.829626083374023
35,18000k,86.23,16.4835147857666
35,24000k,86.27,16.485919952392578
