rate,max_bit_rate,vmaf_score,output_file_size
20,2000k,86.62,2.5847883224487305
20,4000k,91.54,5.2072038650512695
20,8000k,93.85,10.524700164794922
20,12000k,94.59,15.86502456665039
20,18000k,95.23,23.23017120361328
20,24000k,95.67,30.564934730529785
25,2000k,86.62,2.5847883224487305
25,4000k,91.49,5.061073303222656
25,8000k,93.76,9.999656677246094
25,12000k,94.49,14.948137283325195
25,18000k,95.21,22.633464813232422
25,24000k,95.64,29.964064598083496
30,2000k,86.62,2.5847883224487305
30,4000k,91.5,5.061073303222656
30,8000k,93.76,9.999656677246094
30,12000k,94.49,14.941263198852539
30,18000k,94.81,18.636856079101562
30,24000k,94.82,18.533480644226074
35,2000k,86.62,2.5847883224487305
35,4000k,91.47,5.061466217041016
35,8000k,93.63,9.438669204711914
35,12000k,93.63,9.419639587402344
35,18000k,93.61,9.407513618469238
35,24000k,93.62,9.396093368530273
