rate,max_bit_rate,vmaf_score,output_file_size
20,2000k,72.31,6.083701133728027
20,4000k,78.65,10.50851821899414
20,8000k,83.61,21.05757999420166
20,12000k,85.29,31.672832489013672
20,18000k,86.47,47.00529766082764
20,24000k,87.05,62.28542232513428
25,2000k,72.29,6.083701133728027
25,4000k,78.68,10.50851821899414
25,8000k,83.57,20.768954277038574
25,12000k,85.27,31.01570224761963
25,18000k,86.44,46.291669845581055
25,24000k,87.06,61.58520984649658
30,2000k,72.28,6.083701133728027
30,4000k,78.68,10.50851821899414
30,8000k,83.57,20.768954277038574
30,12000k,85.26,30.975492477416992
30,18000k,86.44,46.29361343383789
30,24000k,87.05,61.57863807678223
35,2000k,72.27,6.083701133728027
35,4000k,78.65,10.50851821899414
35,8000k,83.58,20.769518852233887
35,12000k,85.31,31.001017570495605
35,18000k,86.45,46.288394927978516
35,24000k,87.06,61.57665824890137
